primer_nombre,segundo_nombre,primer_apellido,segundo_apellido,id_politico,fecha_inicio,fecha_nac,fuente
,NA,IRUJO,DE GRENDENE,3545,1971-11-28,,
,NA,VASQUEZ,MENDEZ,3537,1971-11-28,,
ABILIO,NA,BRIZ,,4008,NA,1952-08-29,
ABRAHAM,NA,APUD,NA,3797,1955-02-15,1913-02-12,
ABRAHAM,NA,CZARBIEVICZ,NA,384,1987-10-01,1932-04-13,
ADAN,NA,PIMENTEL,NA,3276,2015-03-01,1969-04-22,
ADAUTO,NA,PUÑALES,LASCANO,3975,1995-02-15,1935-01-31,
ADELA,NA,ANGRISANO,NA,69,1959-02-15,,
ADELA,NA,RETA,NA,2542,1985-03-01,1921-07-21,
ADHARA,NA,FALCON,NA,3444,2015-03-01,1989-10-18,
ADHEMAR,NA,CARNALES,MIRABALLES,1604,NA,1932-07-01,
ADOLFO,NA,BALLESTEROS,NA,3620,1958-11-30,1920-01-30,
ADOLFO,NA,BORTAGARAY,NA,1554,NA,1943-09-23,
ADOLFO,NA,GELSI,BIDART,3547,1966-11-27,1935-06-15,
ADOLFO,NA,INCIARTE,NA,725,1932-02-15,,
ADOLFO,NA,ORTEGA,NA,987,1904-02-23,,
ADUL,NA,NEBU,NA,2965,2010-03-01,1967-06-05,
AGUSTIN,C.,CAPUTI,NA,1592,1970-04-02,1911-02-18,
AGUSTIN,R.,BISIO,NA,3723,1932-02-23,,
AGUSTIN,NA,BASCOU,NA,4027,NA,1961-05-14,
AGUSTIN,NA,BELLONI,NA,187,1924-01-23,,
AGUSTIN,NA,FERRANDO,Y OLAONDO,526,1908-02-15,,
AGUSTIN,NA,PAYOVICH,BIANCHI,1027,NA,,
AGUSTIN,NA,UNGO,NA,1357,1926-09-15,,
AIDA,NA,LIRIA,RODAO,3420,2015-03-01,,
ALBA,NA,OSORES,DE LANZA,993,1990-02-15,1929-01-27,
ALBA,NA,ROBALLO,DE PREVITALI,2075,1968-05-03,1908-08-04,
ALBERTO,F.,ZUBIRIA,NA,4475,1947-02-15,1901-09-10,
ALBERTO,I.,GELPI,NA,4204,1967-03-02,1920-06-27,
ALBERTO,R.,DAGNINO,NA,3671,1932-02-23,1871-06-01,1
ALBERTO,NA,ALTESOR,NA,37,1969-07-02,1913-08-15,
ALBERTO,NA,BARRAGUE,NA,162,1936-12-17,1890,1
ALBERTO,NA,BARRAN,NA,163,1967-02-15,,
ALBERTO,NA,BENSION,NA,194,2000-03-01,1940-04-26,
ALBERTO,NA,BOLAÑA,NA,3694,1926-02-13,,
ALBERTO,NA,BRAUSSE,NA,2635,2010-03-01,1938-10-30,
ALBERTO,NA,BUONOMO,NA,1571,NA,1946-01-06,
ALBERTO,NA,CID,NA,1638,NA,1940-08-17,
ALBERTO,NA,CIMA,NA,1640,NA,,
ALBERTO,NA,COURIEL,NA,373,2010-02-15,1935-08-22,
ALBERTO,NA,DEMICHELI,NA,1698,NA,,
ALBERTO,NA,DEMICHELLI,NA,2475,1934-05-18,1896-08-07,
ALBERTO,NA,GELPI,NA,4204,1959-02-15,1920-06-27,
ALBERTO,NA,GIANNASTASIO,NA,3128,2015-03-01,1956-11-07,
ALBERTO,NA,LECUNA,IGARABIDE,1867,NA,,
ALBERTO,NA,MACCIO,NA,813,1932-02-15,,
ALBERTO,NA,MAE,NA,835,1938-11-01,,
ALBERTO,NA,MANE,NA,2476,1933-02-13,1884-05-30,
ALBERTO,NA,MASCHWITZ,NA,2629,1995-03-01,1953-05-09,
ALBERTO,NA,MOROY,NA,934,1932-02-15,1875-08-07,
ALBERTO,NA,PODESTA,CARNELLI,2032,NA,1899,1
ALBERTO,NA,SALVAGNO,NA,1221,1919-03-17,1864-01-09,
ALBERTO,NA,SCAVARELLI,NA,1250,2000-02-15,1949-09-08,
ALBERTO,NA,VOLONTE,NA,3501,1999-04-25,1939-07-24,
ALBERTO,NA,ZOBOLI,NA,3734,1932-02-23,1892-12-14,
ALBERTO,NA,ZUBIRIA,NA,4475,1947-12-03,1901-09-10,
ALBERTO,NA,ZUMARAN,NA,1422,1990-02-15,1940-10-10,
ALCIDES,F.,LUCA,NA,3758,1938-06-19,,
ALCIDES,NA,ALDAMA,NA,28,1938-06-13,,
ALCIDES,NA,CAMBRE,NA,3839,1955-02-15,1896-04-25,
ALCIDES,NA,CENDOYA,NA,3849,1955-02-15,1911,1
ALCIDES,NA,CERVIERI,NA,3903,1963-02-15,,
ALDO,ULISES,GUERRINI,RIESTRA,4231,NA,1949-02-17,
ALDO,NA,CIASULLO,NA,1637,NA,1911,1
ALDO,NA,FAVRETTI,NA,1734,NA,1950-07-31,
ALDO,NA,GUERRINI,NA,4231,NA,1949-02-17,
ALDO,NA,LAMORTE,NA,3487,2004-10-31,1957-01-17,
ALEJANDRO,E.,PESCE,NA,1062,1934-05-23,,
ALEJANDRO,E.,ZEFERINO,NA,3934,1963-02-15,,
ALEJANDRO,NA,ATCHUGARRY,NA,1475,2002-07-24,1952-07-31,
ALEJANDRO,NA,BARBADORA,NA,154,1938-06-13,,
ALEJANDRO,NA,ECHAVARRIA,NA,2828,2010-03-01,1965-11-23,
ALEJANDRO,NA,ESCARDO,NA,1719,NA,1939-08-11,
ALEJANDRO,NA,KAYEL,NA,742,1938-05-25,,
ALEJANDRO,NA,NOBOA,NA,4025,2020-02-08,1963-06-09,
ALEJANDRO,NA,PIOVENE,NA,1079,1914-02-17,,
ALEJANDRO,NA,POLONI,NA,2964,2010-03-01,1971-07-08,
ALEJANDRO,NA,ROVIRA,NA,2102,1972-03-01,,
ALEJANDRO,NA,TRINIDAD,NA,3331,2015-03-01,,
ALFONSO,NA,BAZET,NA,177,1917-02-15,,
ALFONSO,NA,GREISSING,NA,667,1967-02-15,,
ALFREDO,J.,SOLARES,NA,1295,1951-02-15,,
ALFREDO,NA,ALAMBARRI,NA,24,1951-02-15,,
ALFREDO,NA,ALCARDI,NA,2995,2010-03-01,,
ALFREDO,NA,ASTI,NA,124,2015-02-15,1948-10-02,
ALFREDO,NA,BALDOMIR,NA,2480,1942-02-21,1884-08-27,
ALFREDO,NA,DE CASTRO PEREZ,CASTRO PEREZ,1683,NA,,
ALFREDO,NA,DE MATTOS,MATTOS,2458,2020-02-15,1939-06-08,
ALFREDO,NA,DOLCE,NA,453,1992-10-13,1950-11-06,
ALFREDO,NA,DUPETIT,IBARRA,465,1951-02-15,,
ALFREDO,NA,FERRARIS,NA,3880,1959-02-15,,
ALFREDO,NA,LAENS,NA,1853,NA,,
ALFREDO,NA,LEPRO,NA,1870,1968-12-19,,
ALFREDO,NA,MASSA,NA,864,1963-02-15,1927,1
ALFREDO,NA,NEBEL,ELLAURI,948,1934-07-03,1878,1
ALFREDO,NA,PEYRAUBE,NA,1064,1963-02-15,,
ALFREDO,NA,SOLARI,DAMONTE,4434,2010-02-15,1944-07-05,
ALFREDO,NA,SOLARI,NA,4434,1995-03-01,1944-07-05,
ALFREDO,NA,TRAVERSONI,NA,1340,1985-02-15,,
ALFREDO,NA,VIGLIOLA,NA,2257,NA,,
ALFREDO,NA,ZAFFARONI,ORTIZ,1413,1985-02-15,,
ALGHERO,NA,GIROLDI,SOSA,3389,2015-03-01,1976-07-06,
ALICIA,NA,ESPIDNOLA,NA,2986,2010-03-01,1958-10-28,
ALICIA,NA,ESPINDOLA,NA,3365,2015-03-01,1958-10-28,
ALICIA,NA,RAINUSSO,NA,2049,NA,1958-07-07,
ALMA,NA,GALUP,,4023,2020-02-01,1941-11-27,
ALMODOVAR,NA,LAVIN,NA,1864,NA,,
ALVARO,D.,GERMANO,NA,4205,2010-03-01,1962-03-13,
ALVARO,NA,ABILA,NA,3135,2015-03-01,1986-04-29,
ALVARO,NA,CARRAU,NA,1605,NA,1949-12-27,
ALVARO,NA,DASTUGE,NA,2442,2015-02-15,1980-04-03,
ALVARO,NA,DASTUGUE,NA,2446,2020-02-15,1980-04-03,
ALVARO,NA,ERRAMUSPE,NA,1717,NA,1968-10-10,
ALVARO,NA,GERMANO,NA,4205,2014-06-01,1962-03-13,
ALVARO,NA,GUILLOT,NA,684,1907-03-16,1868-07-15,
ALVARO,NA,LAPIDO,DIAZ,761,1967-02-15,,
ALVARO,NA,PEDRAJA,NA,2665,2010-03-01,1963-12-01,
ALVARO,NA,PERRONE,NA,2288,2020-02-15,1977-06-08,
ALVARO,NA,VIVIANO,NA,2448,2020-02-15,1971-12-05,
AMADEA,NA,LEDESMA,NA,2880,2010-03-01,,
AMADEO,NA,ALMADA,NA,33,1935-01-30,1872-08-07,
AMADO,NA,TORINO,NA,2692,2010-03-01,1958-02-15,
AMALIA,M.,JUAREZ,NA,3329,2015-03-01,1974-10-01,
AMANDA,NA,DELLA,VENTURA,2377,2020-02-15,1955-08-31,
AMANDA,NA,HUERTA,DE FONT,1836,NA,1918-06-15,
AMERICO,NA,PLA,RODRIGUEZ,2028,NA,,
AMERICO,NA,RAFFAGLIO,NA,1129,1965-03-22,1910-03-18,
AMIDA,NA,JARDIM,NA,1848,NA,1931-12-13,
AMILCAR,NA,URTAZU,NA,2227,NA,1941-01-22,
AMILCAR,NA,VASCONSELLOS,NA,3456,1963-03-01,1915-09-22,
AMIN,NA,NIFFOURI,NA,2419,2020-02-15,1971-12-02,
AMLCAR,NA,MANERA,NA,836,1951-02-15,,
ANA,INES,SANCHES,NA,3200,2015-03-01,1980-12-17,
ANA,LIA,PINEYRUA,NA,2566,2015-03-01,1954-11-23,
ANA,LIA,PIÑEYRUA,OLMOS,1072,2010-02-15,1954-11-23,
ANA,MARIA,CASALAS,NA,1609,NA,1952-08-23,
ANA,MARIA,HALLER,NA,3008,2010-03-01,1951-07-17,
ANA,NA,CAMEJO,NA,3445,2015-03-01,,
ANA,NA,CORDANO,NA,3469,2019-10-27,1964-11-26,
ANA,NA,STOPINGIE,NA,3010,2010-03-01,1950-04-07,
ANA,NA,VIGNOLI,NA,2596,2010-03-01,1945-07-27,
ANACLETO,NA,DUFORT,Y ALVAREZ,461,1902-02-15,,
ANALIO,M.,ORCE,NA,3876,1959-02-15,1924-01-30,
ANALIO,NA,AMONTE,NA,58,1971-05-11,,
ANATOLIO,NA,PALAMARCHUCK,NA,1007,1963-05-08,1959-07-13,
ANDREA,NA,REVUELTA,NA,3471,2019-10-27,1967-10-16,
ANDRES,NA,ABT,NA,3057,2015-03-01,1973-06-01,
ANDRES,NA,ARBELO,NA,3422,2015-03-01,1964-04-04,
ANDRES,NA,BERTERRECHE,NA,2592,2009-03-05,1962-07-18,
ANDRES,NA,CHUCARRO,NA,3466,2019-10-27,1963-10-21,
ANDRES,NA,CROVETTO,NA,377,1914-02-15,,
ANDRES,NA,CULTELLI,NA,1666,NA,1921-09-06,
ANDRES,NA,DELFINO,NA,432,1923-02-15,,
ANDRES,NA,NAPPA,NA,3875,1959-02-15,1903-02-10,
ANDRES,NA,PASSARINO,NA,2989,2015-03-01,1972-04-21,
ANDRES,NA,TORIANI,NA,1336,1990-02-15,1957-12-13,
ANGEL,F.,FORTUNATTO,NA,3739,1932-02-23,,
ANGEL,M.,GIANOLA,NA,4207,1994-05-17,1926-12-10,
ANGEL,MARIA,CUSANO,NA,4146,NA,1908,
ANGEL,MARIA,GIANOLA,NA,4207,NA,1926-12-10,1
ANGEL,NA,AROUR,NEGEMI,1467,NA,,
ANGEL,NA,CUSANO,NA,4146,1958-11-30,1908,
ANGEL,NA,FACHINETTI,NA,1728,NA,1931-12-27,
ANGEL,NA,FIORONI,NA,3551,1966-11-27,,
ANGEL,NA,FORTUNARO,NA,3708,1926-10-02,,
