primer_nombre,segundo_nombre,primer_apellido,segundo_apellido,id_politico,fecha_inicio,fecha_nac,fuente
,NA,ALVAREZ,VARELA,3358,1971-11-28,,
,NA,PEREZ,DEL CASTILLO,3351,1971-11-28,,
,NA,RODRIGUEZ,NADALES,3136,1971-11-28,,
,NA,SUAREZ,NA,3353,1971-11-28,,
ABALCAZAR,NA,GARCIA,NA,608,1940-12-07,1887-03-22,
ABAYUBA,NA,AMEN,PISANI,54,1985-02-15,1920-11-04,
ABAYUBA,NA,MARTORELL,LIBRAN,886,1990-02-15,,
ABEL,NA,GONZALEZ,BAZ,669,1963-03-05,1909-07-24,
ABEL,NA,SEGARRA,NA,1286,1951-02-15,1919-05-25,
ABELARDO,NA,CARNELLI,NA,307,1934-05-18,,
ABELARDO,NA,SEGOVIA,NA,1288,NA,,
ABRAHAM,ALVARO,ROMERO,NA,2101,NA,,
ABRAHAM,NA,LAMAS,NA,3584,1955-02-15,,
ADAIR,NA,PEREZ,NA,2680,2010-03-01,,
ADALBERTO,NA,GONZALEZ,NA,667,1959-02-15,,
ADAUTO,NA,PUALES,LESCANO,1146,1998-02-15,1935-01-31,
ADELAIDA,NA,ROSPIDE,DE PONCE,1215,1955-02-15,1885-12-16,2
ADEMAR,NA,ANTUNEZ,NA,3392,1962-11-25,1955-10-06,
ADEMAR,NA,CARDOZO,NA,2647,2015-03-01,,
ADEMAR,NA,CORDONES,NA,2895,2010-03-01,1960-04-10,
ADHEMAR,NA,ALVAREZ,NA,3323,1994-11-27,,
ADHEMAR,NA,DA,ROSA VIOLES,1696,NA,,
ADHEMAR,NA,HERNANDEZ,BRITOS,1850,NA,,
ADOLFO,NA,AGUIRRE,GONZALEZ,3360,1966-11-27,,
ADOLFO,NA,ARTAGAVEYTIA,NA,123,1920-02-15,,
ADOLFO,NA,FALERO,NA,1753,NA,,
ADOLFO,NA,FOLLE,JOANICO,2462,1943-03-01,1895-07-26,2
ADOLFO,NA,GUTIERREZ,NA,3728,1972-02-15,,
ADOLFO,NA,PEREZ,OLAVE,4022,1914-02-09,1874-07-03,
ADOLFO,NA,PEREZ,PIERA,4026,2005-02-15,1939-08-01,
ADOLFO,NA,PEREZ,SANCHEZ,4127,1934-05-18,,
ADOLFO,NA,PEREZ,SANDE,4126,2000-02-15,,
ADOLFO,NA,TEJERA,NA,2201,1964-06-16,,
ADRIAN,NA,BELTRAN,ACOSTA,1533,NA,1940-04-05,
ADRIAN,NA,PENA,NA,1058,2020-08-27,1976-01-20,
ADRIAN,NA,PEÑA,NA,1058,2020-02-15,1976-01-20,
ADRIANA,NA,PEA,NA,1058,2005-02-15,1964-03-09,
ADRIANA,NA,PEÑA,HERNANDEZ,4028,2010-02-15,1964-03-09,
ADRIANA,NA,PEÑA,NA,4028,NA,1964-03-09,
AELITA,NA,MOREIRA,NA,1955,NA,1954-09-26,
AGAPITO,NA,ALVAREZ,NA,40,1990-02-15,,
AGAPO,LUIS,PALOMEQUE,NA,1034,1995-02-15,1936-08-17,
AGUSTIN,NA,ANTIA,ERRANDONEA,73,1932-02-15,1889-09-13,1
AGUSTIN,NA,MINELLI,NA,1947,NA,1894,2
AGUSTIN,NA,OLIVER,NA,2655,2010-03-01,,
AGUSTIN,NA,SANGUINETTI,NA,1258,1911-02-15,1879,2
ALBA,NA,CASSINA,NA,1636,NA,1923-08-02,
ALBA,NA,CLAVIJO,NA,1664,NA,,
ALBA,NA,RIJO,NA,3070,2015-03-01,1942-11-24,
ALBA,NA,SARASOLA,NA,2797,2010-03-01,1959-12-22,
ALBEL,NA,SEGARRA,NA,1286,1926-02-13,,
ALBERICO,NA,PASSADORE,NA,1045,1972-02-15,1903-10-24,1
ALBERICO,NA,SEGOVIA,NA,2153,NA,,
ALBERTO,A.,ODIZZIO,NA,3543,1938-06-19,,
ALBERTO,C.,SUAREZ,NA,2189,NA,,
ALBERTO,F.,CANESSA,NA,284,1923-02-15,,
ALBERTO,F.,GONZALEZ,NA,667,1938-05-25,,
ALBERTO,P.,AGUIRRE,NA,16,1929-05-30,,
ALBERTO,NA,ABDALA,NA,1452,1967-12-06,1920-04-08,
ALBERTO,NA,ARIAS,ALONSO,97,1966-09-14,,
ALBERTO,NA,AROCENA,NA,105,1962-11-25,1878,1
ALBERTO,NA,ARTAGAVEYTIA,NA,1497,NA,,
ALBERTO,NA,BRAUSE,BERRETA,247,2000-10-25,1938-10-30,
ALBERTO,NA,CASAS,NA,1633,2010-02-15,,
ALBERTO,NA,DIAZ,NA,1661,2015-03-01,,
ALBERTO,NA,DOMINGUEZ,CAMPORA,468,1951-03-01,,
ALBERTO,NA,FERMIN,ZUBIRIA,3282,1957-03-01,1901-10-09,
ALBERTO,NA,GALLINAL,HEBER,3907,1951-02-15,1909-11-04,
ALBERTO,NA,GALLINAL,NA,3907,1966-11-27,1909-11-04,
ALBERTO,NA,GOMEZ,FOLLE,658,1908-02-15,,
ALBERTO,NA,GONZALEZ,NA,667,2015-03-01,,
ALBERTO,NA,GUANI,NA,694,1943-03-02,1877-06-14,
ALBERTO,NA,GUERRERO,NA,1840,NA,,
ALBERTO,NA,GUTIERREZ,CHIRIMELLO,707,1967-02-15,,
ALBERTO,NA,HEBER,USHER,3936,1966-11-27,1918-05-01,
ALBERTO,NA,HEBER,NA,3936,1971-11-28,1918-05-01,
ALBERTO,NA,IGLESIAS,PUIG,3940,NA,1924-06-22,
ALBERTO,NA,IGLESIAS,NA,3939,2004-06-27,1924-06-22,
ALBERTO,NA,LANGON,NA,783,1934-05-18,1884-10-17,
ALBERTO,NA,MANINI,RIOS,863,1964-11-03,1908-09-15,
ALBERTO,NA,MARTINEZ,AÑON,874,1988-09-17,,
ALBERTO,NA,MIRANDA,NA,3076,2015-03-01,,
ALBERTO,NA,NIETO,Y CLAVERA,979,1923-03-07,1887,1
ALBERTO,NA,PERDOMO,GAMARRA,4015,2010-02-15,1967-04-06,
ALBERTO,NA,PERDOMO,NA,4015,2015-02-15,1967-04-06,
ALBERTO,NA,PEREIRA,NA,1064,NA,,
ALBERTO,NA,PUIG,LARRAVIDE,4035,NA,,
ALBERTO,NA,PUIG,NA,4035,NA,,
ALBERTO,NA,QUINTANA,NA,1156,1908-02-15,,
ALBERTO,NA,RAPETTI,CABRERA,1170,1967-02-15,,
ALBERTO,NA,ROSSELLI,NA,1217,1963-02-15,,
ALBERTO,NA,RUIZ,HERRAN,4078,1970-12-15,,
ALBERTO,NA,RUIZ,PRINZO,4078,1963-02-15,1908-02-02,
ALBERTO,NA,ZORRILLA,NA,2283,NA,,
ALCIDES,NA,ALONSO,MARTINEZ,36,1972-02-15,,
ALCIDES,NA,PERDOMO,,2782,2010-03-01,,
ALCIDES,NA,PERDOMO,NA,2782,2015-03-01,,
ALCIDES,NA,PEREZ,NA,2992,2015-03-01,,
ALDIMAR,NA,FERRARI,NA,3168,2015-03-01,1965-09-06,
ALDO,NA,PEREZ,RIERA,2025,NA,,
ALDOIRO,NA,SILVEIRA,NA,1310,1990-02-15,,
ALDORIO,NA,SILVEIRA,NA,1310,2010-03-01,1936-02-17,
ALEJANDRA,NA,BRITOS,NA,2966,2015-03-01,1969-10-24,
ALEJANDRA,NA,PAZ,NA,2829,2010-03-01,,
ALEJANDRA,NA,PEREIRA,NA,3263,2015-03-01,,
ALEJANDRO,NA,ANTONELLI,NA,2972,2015-03-01,1956-01-11,
ALEJANDRO,NA,BONILLA,NA,2769,2010-03-01,,
ALEJANDRO,NA,BRITOS,NA,2966,2015-03-01,,
ALEJANDRO,NA,BRUSCO,NA,2904,2010-03-01,1960-05-12,
ALEJANDRO,NA,FALCO,NA,1751,NA,1954-09-22,
ALEJANDRO,NA,FERNANDEZ,NA,526,2015-03-01,,
ALEJANDRO,NA,GALLINAL,NA,601,1926-02-09,1872-10-20,
ALEJANDRO,NA,GIORELLO,NA,3755,1995-02-15,1943-10-30,
ALEJANDRO,NA,MARTINEZ,NA,2768,2010-03-01,,
ALEJANDRO,NA,SANCHEZ,NA,2317,2020-02-15,1980-04-24,
ALEJANDRO,NA,SANCHEZ,NA,3797,2009-06-28,,
ALEJANDRO,NA,SILVEIRA,ZORZI,2170,NA,,
ALEJANDRO,NA,ZORRILLA,DE SAN MARTIN,1447,1990-02-15,1909-09-06,
ALEJO,F.,GUICHON,NA,3463,1926-02-13,,
ALEJO,NA,FERNANDEZ,CHAVEZ,528,2004-12-20,1945-10-21,
ALEJO,NA,UMPIERREZ,NA,2430,2020-02-15,1965-06-03,
ALEM,NA,GARCIA,NA,609,1999-04-25,1946-02-21,
ALEMBERT,NA,VAZ,NA,1403,1972-02-15,1917-10-29,
ALESANDRA,NA,ROQUERO,,3062,2015-03-01,1973-07-16,
ALEXIS,NA,GUYNOT,DE BOISMENU,1844,NA,,
ALEXIS,NA,PEREIRA,NA,3134,2015-03-01,,
ALFEO,NA,BRUM,NA,254,1951-03-05,1898-03-22,
ALFONSO,J.,ORTIZ,NA,3466,1926-02-13,,
ALFONSO,MARIO,CATALDI,NA,2587,1995-03-01,1937-04-29,
ALFONSO,NA,CARDOSO,NA,303,1964-10-23,,
ALFONSO,NA,DE SALTERAIN,SALTERAIN,435,1920-02-20,,
ALFONSO,NA,REQUITERENA,VOGT,2070,NA,1915,2
ALFONSO,NA,VARELA,NA,2544,2002-03-06,1952-07-04,
ALFREDO,J.,PUIG,SPANGENBERG,1144,1955-02-15,1897-03-16,
ALFREDO,M.,BOUZA,NA,1582,NA,,
ALFREDO,R.,CAMPOS,NA,2458,1943-03-01,1880-02-18,
ALFREDO,NA,AROCENA,NA,106,NA,1869,1
ALFREDO,NA,ARTIGAS,NA,3643,1959-02-15,,
ALFREDO,NA,BENTANCOURT,NA,204,1997-05-06,,
ALFREDO,NA,COSTA,GUITERREZ,380,NA,1867-07-03,
ALFREDO,NA,DE CASTRO,CASTRO,3594,1955-02-15,,
ALFREDO,NA,ETCHEGARAY,NA,2757,2010-03-01,1956-07-07,
ALFREDO,NA,FRATTI,NA,130,2005-02-15,1956-10-23,
ALFREDO,NA,GARCIA,MORALES,3914,NA,1881-03-07,
ALFREDO,NA,GARCIA,MORALES,3915,NA,1881-03-07,
ALFREDO,NA,GARCIA,TECHERA,3916,2015-03-01,1965-07-25,
ALFREDO,NA,GIRIBALDI,NA,2441,1909-01-07,,
ALFREDO,NA,LARA,NA,789,1992-12-08,1954-10-24,
ALFREDO,NA,MIGUES,NA,1946,NA,,
ALFREDO,NA,NAVARRO,NA,973,1934-05-18,1868-05-04,
ALFREDO,NA,OLIU,NA,466,2014-06-01,1958-02-02,
ALFREDO,NA,OLIVERA,CALAMET,3460,1926-02-13,,
ALFREDO,NA,PIFFARETTI,NA,2029,NA,1954-01-05,
ALFREDO,NA,PUIG,SPANGEMBERG,1144,1943-02-15,1897-03-16,
ALFREDO,NA,PUIG,SPANGENBERG,1144,1959-02-15,1897-03-16,
ALFREDO,NA,PUIG,SPANGERNBERG,1144,1964-07-28,1897-03-16,
ALFREDO,NA,RODRIGUEZ,NA,2089,NA,,
ALFREDO,NA,SILVA,NA,3040,2015-03-01,,
ALFREDO,NA,SILVEIRA,LIMA,1312,1972-09-19,,
ALFREDO,NA,SILVERA,LIMA,1312,1986-04-02,,
ALFREDO,NA,TERRA,NA,1888,1958-11-30,,
ALFREDO,NA,VAZQUEZ,ACEVEDO,1404,1917-02-07,1844-07-08,
ALFREDO,NA,VIDAL,Y FUENTES,4119,NA,1863-07-30,
ALFREDO,NA,VIDAL,NA,4119,1911-02-15,1863-07-30,
ALICIA,NA,PEREZ,NA,2981,2015-03-01,,
ALLISON,NA,ROSAS,NA,3042,2015-03-01,1977-09-11,
