"primer_apellido","segundo_apellido","primer_nombre","segundo_nombre","id_politico","partido","inicio","fin","legislatura","cargo","status","circunscripcion","sexo","fecha_nac","fecha_inicio_l","fecha_fin_l","fecha_intermedia","ed_asumir_1","ed_asumir","edad_asumir","agregado","legislaturas_agrupadas"
"ABDALA","SCHWARZ","PABLO","DANIEL",1453,"Partido Nacional",2010,2015,47,"Diputado","Titular","Montevideo",1,"1966-07-14","2010-02-15","2015-02-14","2012-08-15",NA,43,43,0,"1985-2020"
"ALONSO","MONTANO","VERONICA","MARIA",2399,"Partido Nacional",2010,2015,47,"Diputado","Titular","Montevideo",0,"1973-10-24","2010-02-15","2015-02-14","2012-08-15",NA,36,36,0,"1985-2020"
"CHIESA","BRUNO","ANTONIO",NA,4371,"Partido Nacional",2010,2015,47,"Diputado","Titular","Tacuarembó",1,"1953-07-26","2010-02-15","2015-02-14","2012-08-15",NA,56,56,0,"1985-2020"
"CONDE","CARRERAS","ROBERTO",NA,363,"Frente Amplio",2010,2013,47,"Diputado","Titular","Canelones",1,"1952-09-07","2010-02-15","2015-02-14","2012-08-15",NA,57,57,0,"1985-2020"
"COUTINHO","RODRIGUEZ","GERMAN","MANUEL",2381,"Partido Colorado",2010,2010,47,"Diputado","Titular",NA,1,"1970-04-01","2010-02-15","2015-02-14","2012-08-15",NA,39,39,0,"1985-2020"
"DE LEON","OJEDA","WALTER","ULISES",2295,"Frente Amplio",2010,2015,47,"Diputado","Titular","San José",1,"1951-02-20","2010-02-15","2015-02-14","2012-08-15",NA,58,58,0,"1985-2020"
"DE TORO","GONZALEZ","GONZALO",NA,2338,"Frente Amplio",2010,2011,47,"Diputado","Titular","Montevideo",1,"1950-06-08","2010-02-15","2015-02-14","2012-08-15",NA,59,59,0,"1985-2020"
"DELGADO CERETTA",NA,"ALVARO",NA,445,"Partido Nacional",2010,2015,47,"Diputado","Titular","Montevideo",1,"1969-03-11","2010-02-15","2015-02-14","2012-08-15",NA,40,40,0,"1985-2020"
"ABREU","BONILLA","SERGIO",NA,6,"Partido Nacional",2005,2010,46,"Senador","Titular",NA,1,"1945-11-12","2005-02-15","2010-02-14","2007-08-16",NA,59,59,1,"1985-2025"
"ESPINOSA","MARMOL","GUSTAVO","ADRIAN",498,"Partido Colorado",2010,2015,47,"Diputado","Titular","Canelones",1,"1965-01-10","2010-02-15","2015-02-14","2012-08-15",NA,45,45,0,"1985-2020"
