"primer_apellido","segundo_apellido","primer_nombre","segundo_nombre","id_politico","partido","fecha_inicio","fecha_fin","legislatura","cargo","status","circunscripcion","sexo","fuente","fecha_nac","fecha_inicio_l","fecha_fin_l","fecha_intermedia","ed_asumir_1","ed_asumir","edad_asumir"
"ABAL",NA,"TERESA",NA,2646,"Frente Amplio",2010-03-01,NA,47,"Concejal","Titular","Canelones Paso Carrasco",0,NA,1948-10-03,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,61,61
"ABDALA",NA,"WASHINGTON",NA,1,"Partido Colorado",1995-02-15,2000-02-14,44,"Diputado","Titular","Montevideo",1,NA,1959-09-08,1995-02-15,2000-02-14,1997-08-15 12:00:00,NA,35,35
"ABDALA",NA,"WASHINGTON",NA,1,"Partido Colorado",2000-02-15,2005-02-14,45,"Diputado","Titular","Montevideo",1,NA,1959-09-08,2000-02-15,2005-02-14,2002-08-16,NA,40,40
"ABDALA",NA,"WASHINGTON",NA,1,"Partido Colorado",2005-02-15,NA,46,"Diputado","Titular","Montevideo",1,NA,1959-09-08,2005-02-15,2010-02-14,2007-08-16 12:00:00,NA,45,45
"ABDALA",NA,"ALBERTO",NA,1452,"Partido Colorado",NA,NA,36,"Diputado","Titular","Montevideo",1,NA,1920-04-08,1951-02-15,1955-02-14,1953-02-14,32,NA,32
"ABDALA",NA,"ALBERTO",NA,1452,"Partido Colorado",NA,NA,37,"Diputado","Titular","Montevideo",1,NA,1920-04-08,1955-02-15,1959-02-03,1957-02-08 12:00:00,36,NA,36
"ABDALA",NA,"ALBERTO",NA,1452,"Partido Colorado",NA,NA,38,"Senador","Titular",NA,1,NA,1920-04-08,1959-02-15,1963-02-14,1961-02-14,40,NA,40
"ABDALA",NA,"ALBERTO",NA,1452,"Partido Colorado",NA,NA,40,"Senador","Titular",NA,1,NA,1920-04-08,1967-02-15,1972-02-14,1969-08-15 12:00:00,49,NA,49
"ABDALA",NA,"CARLOS",NA,112,"Partido Colorado",NA,NA,44,"Diputado","Suplente","Montevideo",1,NA,1930-04-20,1995-02-15,2000-02-14,1997-08-15 12:00:00,67,NA,67
"ABDALA",NA,"PABLO",NA,1453,"Partido Nacional",NA,NA,44,"Diputado","Suplente","Montevideo",1,NA,1966-07-14,1995-02-15,2000-02-14,1997-08-15 12:00:00,31,NA,31
"ABDALA",NA,"PABLO",NA,1453,"Partido Nacional",NA,NA,46,"Diputado","Titular","Montevideo",1,NA,1966-07-14,2005-02-15,2010-02-14,2007-08-16 12:00:00,41,NA,41
"ABDALA",NA,"PABLO",NA,1453,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1966-07-14,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,43,43
"ABDALA",NA,"PABLO",NA,1453,"Partido Nacional",2015-02-15,NA,48,"Diputado","Titular",NA,1,NA,1966-07-14,2015-02-15,2020-02-14,2017-08-15 12:00:00,NA,48,48
"ABDALA",NA,"ALBERTO",NA,1452,"Partido Colorado",1956-05-16,1957-06-06,37,"Ministro Interior","Titular",NA,1,NA,1920-04-08,1955-02-15,1959-02-03,1957-02-08 12:00:00,NA,36,36
"ABDALA",NA,"CARLOS",NA,112,"Partido Nacional",1972-06-09,1973-06-27,41,"Ministro Trabajo y Seguridad Social","Titular",NA,1,NA,1930-04-20,1972-02-15,1973-06-27,1972-10-21,NA,42,42
"ABDALA",NA,"ALBERTO",NA,1452,"Partido Colorado",1963-03-01,1967-03-01,39,"Miembro del Consejo Nacional de Gobierno","Titular",NA,1,NA,1920-04-08,1963-02-15,1967-02-14,1965-02-14,NA,42,42
"ABDALA",NA,"ALBERTO",NA,1452,"Partido Colorado",1967-12-06,1972-03-01,40,"Vicepresidente de la Republica","Titular",NA,1,NA,1920-04-08,1967-02-15,1972-02-14,1969-08-15 12:00:00,NA,47,47
"ABDALA",NA,"ALBERTO",NA,1452,"Partido Colorado",1962-11-25,1962-11-25,38,"Candidato Consejo Nacional de Gobierno",NA,NA,1,NA,1920-04-08,1959-02-15,1963-02-14,1961-02-14,NA,42,42
"ABEL","MELIAN","OSCAR",NA,2956,"Frente Amplio",2010-03-01,NA,47,"Concejal","Titular","Tacuarembo Paso de los Toros",1,NA,1932-02-07,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,78,78
"ABEL","ZARZA","JOSE",NA,3030,"Partido Nacional",2015-03-01,NA,48,"Concejal","Titular","Canelones Suárez",1,NA,NA,2015-02-15,2020-02-14,2017-08-15 12:00:00,NA,NA,NA
"ABELENDA",NA,"MARCOS",NA,1454,"Frente Amplio",NA,NA,43,"Diputado","Suplente","Montevideo",1,NA,1949-06-30,1990-02-15,1995-02-14,1992-08-15 12:00:00,43,NA,43
"ABELENDA",NA,"MARCOS",NA,1454,"Frente Amplio",NA,NA,44,"Diputado","Titular","Montevideo",1,NA,1949-06-30,1995-02-15,2000-02-14,1997-08-15 12:00:00,48,NA,48
"ABELENDA",NA,"MARCOS",NA,1454,"Frente Amplio",NA,NA,45,"Senador","Suplente",NA,1,NA,1949-06-30,2000-02-15,2005-02-14,2002-08-16,53,NA,53
"ABELLA",NA,"JOSE",NA,2,"Partido Nacional",1929-02-15,1932-02-14,30,"Diputado","Titular","Montevideo",1,NA,NA,1929-02-01,1932-01-29,1930-08-01,NA,NA,NA
"ABELLA","VIERA","JUAN","ANDRES",3,"Partido por la Tradicion Colorada",1926-03-15,1929-02-14,29,"Diputado","Titular","Colonia",1,NA,NA,1926-02-09,1929-01-28,1927-08-05,NA,NA,NA
"ABELLA","VIERA","JUAN","ANDRES",3,"Partido por la Tradicion Colorada",1929-03-11,1932-02-14,30,"Diputado","Titular","Colonia",1,NA,NA,1929-02-01,1932-01-29,1930-08-01,NA,NA,NA
"ABELLA","Y ESCOBAR","JULIO",NA,4,"Partido Colorado",1908-02-15,1911-02-14,23,"Diputado","Titular","Artigas",1,NA,NA,1908-02-08,1911-01-23,1909-08-01,NA,NA,NA
"ABELLA","Y ESCOBAR","JULIO",NA,4,"Partido Colorado",1911-02-15,1914-02-14,24,"Diputado","Titular","Florida",1,NA,NA,1911-02-09,1914-02-09,1912-08-10,NA,NA,NA
"ABELLA","Y ESCOBAR","JULIO",NA,4,"Partido Colorado",1914-02-15,1917-02-14,25,"Diputado","Titular","Rivera",1,NA,NA,1914-02-09,1917-01-02,1915-07-23,NA,NA,NA
"ABELLA","Y ESCOBAR","JULIO",NA,4,"Partido Colorado",1917-02-15,1919-02-12,26,"Diputado","Titular","Rivera",1,NA,NA,1917-02-01,1920-02-14,1918-08-09,NA,NA,NA
"ABELLA","Y ESCOBAR","JULIO",NA,4,"Partido Colorado",1919-02-15,1923-02-14,27,"Senador","Titular","Rivera",1,NA,NA,1920-02-09,1923-02-14,1921-08-12 12:00:00,NA,NA,NA
"ABELLA","Y ESCOBAR","JULIO",NA,4,"Partido Colorado",1923-02-15,1924-01-21,28,"Senador","Titular","Rivera",1,NA,NA,1923-02-01,1926-02-12,1924-08-07 12:00:00,NA,NA,NA
"ABELLA",NA,"GONZALO",NA,3292,"Asamblea Popular",2019-10-27,2019-10-27,48,"Candidato Presidente",NA,NA,1,NA,1947-12-26,2015-02-15,2020-02-14,2017-08-15 12:00:00,NA,71,71
"ABELLA",NA,"GONZALO",NA,3292,"Asamblea Popular",2019-06-30,2019-06-30,48,"Candidato Precandidato Presidente",NA,NA,1,NA,1947-12-26,2015-02-15,2020-02-14,2017-08-15 12:00:00,NA,71,71
"ABELLA",NA,"GONZALO",NA,3292,"Asamblea Popular",2014-10-26,2014-10-26,47,"Candidato Presidente",NA,NA,1,NA,1947-12-26,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,66,66
"ABELLA",NA,"GONZALO",NA,3292,"Asamblea Popular",2014-06-01,2014-06-01,47,"Candidato Precandidato Presidente",NA,NA,1,NA,1947-12-26,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,66,66
"ABILA",NA,"ALVARO",NA,3038,"Frente Amplio",2015-03-01,NA,48,"Concejal","Titular","Canelones Atlántida",1,NA,1986-04-29,2015-02-15,2020-02-14,2017-08-15 12:00:00,NA,28,28
"ABISAB",NA,"ODEL",NA,1455,"Partido Nacional",NA,NA,45,"Diputado","Suplente","Montevideo",1,NA,1943-03-14,2000-02-15,2005-02-14,2002-08-16,59,NA,59
"ABOAL",NA,"LUIS","MARIA",5,"Partido Nacional",1972-12-12,1973-02-11,41,"Diputado","Suplente","Rivera",1,NA,1937-06-01,1972-02-15,1973-06-27,1972-10-21,NA,35,35
"ABONDET",NA,"EMILIO",NA,2894,"Partido Colorado",2010-03-01,NA,47,"Concejal","Titular","Soriano Cardona",1,NA,1956-08-25,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,53,53
"ABREU",NA,"SERGIO",NA,6,"Partido Nacional",1990-02-15,1995-02-14,43,"Senador","Titular",NA,1,NA,1945-11-12,1990-02-15,1995-02-14,1992-08-15 12:00:00,NA,44,44
"ABREU",NA,"SERGIO",NA,6,"Partido Nacional",2005-02-15,NA,46,"Senador","Titular",NA,1,NA,1945-11-12,2005-02-15,2010-02-14,2007-08-16 12:00:00,NA,59,59
"ABREU","DE MACHADO","MARGARITA",NA,1456,"Partido Nacional",NA,NA,35,"Diputado","Suplente","Rocha",0,NA,1900-04-15,1947-02-13,1951-02-12,1949-02-12,48,NA,48
