"","primer_apellido","segundo_apellido","primer_nombre","segundo_nombre","partido","legislatura"
"1","ABADIE","SANTOS","HORACIO",NA,"Partido Colorado",32
"2","ABADIE",NA,"HORACIO",NA,"Partido Nacional",43
"3","ABADIE","PEREZ","HORACIO",NA,"Partido Nacional",45
"4","ABADIE","SANTOS","HORACIO",NA,"Partido Colorado",40
"5","ABAL",NA,"TERESA",NA,"Partido Frente Amplio",47
"6","ABDALA",NA,"WASHINGTON",NA,"Partido Colorado",44
"7","ABDALA",NA,"WASHINGTON",NA,"Partido Colorado",45
"8","ABDALA",NA,"WASHINGTON",NA,"Partido Colorado",46
"9","ABDALA",NA,"ALBERTO",NA,"Partido Colorado",36
"10","ABDALA",NA,"ALBERTO",NA,"Partido Colorado",37
"11","ABDALA",NA,"ALBERTO",NA,"Partido Colorado",38
"12","ABDALA",NA,"ALBERTO",NA,"Partido Colorado",40
"13","ABDALA",NA,"CARLOS",NA,"Partido Colorado",44
"14","ABDALA",NA,"PABLO",NA,"Partido Nacional",44
"15","ABDALA",NA,"PABLO",NA,"Partido Nacional",46
"16","ABDALA",NA,"PABLO",NA,"Partido Nacional",47
"17","ABDALA",NA,"PABLO",NA,"Partido Nacional",48
"18","ABDALA",NA,"CARLOS",NA,"Partido Nacional",41
"19","ABDALA",NA,"ALBERTO",NA,"Partido Colorado",39
"20","ABEL","MELIAN ","OSCAR",NA,"Partido Frente Amplio",47
"21","ABEL","ZARZA","JOSE",NA,"Partido Nacional",48
"22","ABELENDA",NA,"MARCOS",NA,"Frente Amplio",43
"23","ABELENDA",NA,"MARCOS",NA,"Frente Amplio",44
"24","ABELENDA",NA,"MARCOS",NA,"Frente Amplio",45
"25","ABELLA",NA,"JOSE",NA,"Partido Nacional",30
"26","ABELLA","VIERA","JUAN","ANDRES","Partido por la Tradicion Colorada",29
"27","ABELLA","VIERA","JUAN","ANDRES","Partido por la Tradicion Colorada",30
"28","ABELLA","Y ESCOBAR","JULIO",NA,"Partido Colorado",23
"29","ABELLA","Y ESCOBAR","JULIO",NA,"Partido Colorado",24
"30","ABELLA","Y ESCOBAR","JULIO",NA,"Partido Colorado",25
"31","ABELLA","Y ESCOBAR","JULIO",NA,"Partido Colorado",26
"32","ABELLA","Y ESCOBAR","JULIO",NA,"Partido Colorado",27
"33","ABELLA","Y ESCOBAR","JULIO",NA,"Partido Colorado",28
"34","ABELLA",NA,"GONZALO",NA,"Asamblea Popular",48
"35","ABELLA",NA,"GONZALO",NA,"Asamblea Popular",47
"36","ABILA",NA,"ALVARO",NA,"Partido Frente Amplio",48
"37","ABISAB",NA,"ODEL",NA,"Partido Nacional",45
"38","ABOAL",NA,"LUIS","MARIA","Partido Nacional",41
"39","ABONDET",NA,"EMILIO",NA,"Partido Colorado",47
