"primer_apellido","segundo_apellido","primer_nombre","segundo_nombre","id_politico","partido","fecha_inicio","fecha_fin","cargo","status","circunscripcion","sexo","id_fuente","fecha_nac","fecha_inicio_l","fecha_fin_l","fecha_intermedia","ed_asumir_1","ed_asumir","edad_asumir","legislaturas_agrupadas","inicio","fin","cargo_estandarizado","cargo_vigente","legislatura"
"ABADIE",NA,"HORACIO",NA,4215,"Partido Nacional",NA,NA,"Senador","Suplente",NA,1,1,NA,1990-02-15,1995-02-14,1992-08-15 12:00:00,NA,NA,NA,"1985-2025",NA,NA,"Senador","SI","1990-1995"
"ABADIE","SANTOS","HORACIO",NA,3797,"Partido Colorado",1967-10-30,1968-03-19,"Ministro Industria y Comercio","Titular",NA,1,1,NA,1967-02-15,1972-02-14,1969-08-15 12:00:00,NA,NA,NA,"1934-1973",NA,NA,"Ministro Industria, Energía y Minería","NO","1967-1972"
"ABADIE","PEREZ","HORACIO",NA,4216,"Partido Nacional",NA,NA,"Diputado","Suplente","Montevideo",1,1,1973-08-07,2000-02-15,2005-02-14,2002-08-16,29,NA,29,"1985-2025",NA,NA,"Diputado","SI","2000-2005"
"ABADIE","SANTOS","HORACIO",NA,4341,"Partido Colorado",1934-05-18,1934-07-01,"Diputado","Titular","Montevideo",1,1,1886-05-23,1934-05-18,1938-05-16,1936-05-16 12:00:00,NA,47,47,"1934-1973",NA,NA,"Diputado","SI","1934-1938"
"ABADIE","SANTOS","HORACIO",NA,4341,"Partido Colorado",1934-07-02,1936-11-24,"Diputado","Titular","Tacuarembo",1,1,1886-05-23,1934-05-18,1938-05-16,1936-05-16 12:00:00,NA,48,48,"1934-1973",NA,NA,"Diputado","SI","1934-1938"
"ABADIE","SANTOS","HORACIO",NA,4341,"Partido Colorado",1933-11-15,1934-05-18,"Ministro Justicia e Instruccion Publica","Titular",NA,1,1,1886-05-23,1934-05-18,1938-05-16,1936-05-16 12:00:00,NA,47,47,"1934-1973",NA,NA,"Ministro Educación y Cultura","NO","1934-1938"
"ABAL",NA,"TERESA",NA,4510,"Frente Amplio",2010-03-01,NA,"Concejal","Titular","Canelones Paso Carrasco",0,1,1948-10-03,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,61,61,"1985-2025",NA,NA,"Concejal","SI","2010-2015"
"ABDALA",NA,"ALBERTO",NA,1452,"Partido Colorado",NA,NA,"Diputado","Titular","Montevideo",1,1,1920-04-08,1951-02-15,1955-02-14,1953-02-14,32,NA,32,"1934-1973",NA,NA,"Diputado","SI","1951-1955"
"ABDALA",NA,"ALBERTO",NA,1452,"Partido Colorado",NA,NA,"Diputado","Titular","Montevideo",1,1,1920-04-08,1955-02-15,1959-02-03,1957-02-08 12:00:00,36,NA,36,"1934-1973",NA,NA,"Diputado","SI","1955-1959"
"ABDALA",NA,"ALBERTO",NA,1452,"Partido Colorado",NA,NA,"Senador","Titular",NA,1,1,1920-04-08,1959-02-15,1963-02-14,1961-02-14,40,NA,40,"1934-1973",NA,NA,"Senador","SI","1959-1963"
"ABDALA",NA,"ALBERTO",NA,1452,"Partido Colorado",NA,NA,"Senador","Titular",NA,1,1,1920-04-08,1967-02-15,1972-02-14,1969-08-15 12:00:00,49,NA,49,"1934-1973",NA,NA,"Senador","SI","1967-1972"
"ABDALA",NA,"PABLO",NA,1453,"Partido Nacional",NA,NA,"Diputado","Suplente","Montevideo",1,1,1966-07-14,1995-02-15,2000-02-14,1997-08-15 12:00:00,31,NA,31,"1985-2025",NA,NA,"Diputado","SI","1995-2000"
"ABDALA",NA,"ALBERTO",NA,1452,"Partido Colorado",1956-05-16,1957-06-06,"Ministro Interior","Titular",NA,1,1,1920-04-08,1955-02-15,1959-02-03,1957-02-08 12:00:00,NA,36,36,"1934-1973",NA,NA,"Ministro Interior","SI","1955-1959"
"ABDALA",NA,"ALBERTO",NA,1452,"Partido Colorado",1963-03-01,1967-03-01,"Miembro del Consejo Nacional de Gobierno","Titular",NA,1,1,1920-04-08,1963-02-15,1967-02-14,1965-02-14,NA,42,42,"1934-1973",NA,NA,"Miembro del Consejo Nacional de Gobierno","NO","1963-1967"
"ABDALA",NA,"ALBERTO",NA,1452,"Partido Colorado",1967-12-06,1972-03-01,"Vicepresidente de la Republica","Titular",NA,1,1,1920-04-08,1967-02-15,1972-02-14,1969-08-15 12:00:00,NA,47,47,"1934-1973",NA,NA,"Vicepresidente de la República","SI","1967-1972"
"ABDALA",NA,"ALBERTO",NA,1452,"Partido Colorado",1962-11-25,1962-11-25,"Candidato Consejo Nacional de Gobierno",NA,NA,1,1,1920-04-08,1959-02-15,1963-02-14,1961-02-14,NA,42,42,"1934-1973",NA,NA,"Candidato Consejo Nacional de Gobierno","NO","1959-1963"
"ABDALA",NA,"WASHINGTON",NA,5170,"Partido Colorado",1995-02-15,2000-02-14,"Diputado","Titular","Montevideo",1,1,1959-09-08,1995-02-15,2000-02-14,1997-08-15 12:00:00,NA,35,35,"1985-2025",NA,NA,"Diputado","SI","1995-2000"
"ABDALA",NA,"CARLOS",NA,5216,"Partido Nacional",1972-06-09,1973-06-27,"Ministro Trabajo y Seguridad Social","Titular",NA,1,1,1930-04-20,1972-02-15,1973-06-27,1972-10-21,NA,42,42,"1934-1973",NA,NA,"Ministro Trabajo y Seguridad Social","SI","1972-1973"
"ABDALA",NA,"CARLOS",NA,5217,"Partido Colorado",NA,NA,"Diputado","Suplente","Montevideo",1,1,NA,1995-02-15,2000-02-14,1997-08-15 12:00:00,NA,NA,NA,"1985-2025",NA,NA,"Diputado","SI","1995-2000"
"ABDALA",NA,"WASHINGTON",NA,5170,"Partido Colorado",2000-02-15,2005-02-14,"Diputado","Titular","Montevideo",1,1,1959-09-08,2000-02-15,2005-02-14,2002-08-16,NA,40,40,"1985-2025",NA,NA,"Diputado","SI","2000-2005"
"ABDALA","SCHWARZ","PABLO","DANIEL",1453,"Partido Nacional",NA,NA,"Diputado","Titular","Montevideo",1,2,1966-07-14,2010-02-15 02:00:00,2015-02-14 02:00:00,2012-08-15 03:00:00,NA,43,43,"1985-2025",2010,2015,"Diputado","SI","2010-2015"
"ABDALA","SCHWARZ","PABLO","DANIEL",1453,"Partido Nacional",NA,NA,"Senador","Suplente",NA,1,2,1966-07-14,2010-02-15 02:00:00,2015-02-14 02:00:00,2012-08-15 03:00:00,46,NA,46,"1985-2025",2012,2012,"Senador","SI","2010-2015"
"ABDALA","SCHWARZ","PABLO","DANIEL",1453,"Partido Nacional",NA,NA,"Diputado","Titular",NA,1,2,1966-07-14,2015-02-15 02:00:00,2020-02-14 03:00:00,2017-08-15 03:00:00,NA,48,48,"1985-2025",2015,2020,"Diputado","SI","2015-2020"
