"primer_apellido","segundo_apellido","primer_nombre","segundo_nombre","partido","legislatura","cluster_id","id_unificado"
"ABADIE","SANTOS","HORACIO","","Partido Colorado","32",1,1
"ABADIE","","HORACIO","","Partido Nacional","43",2,1
"ABADIE","PEREZ","HORACIO","","Partido Nacional","45",2,1
"ABADIE","SANTOS","HORACIO","","Partido Colorado","40",1,1
"ABDALA","","CARLOS","","Partido Colorado","44",13,13
"ABDALA","","CARLOS","","Partido Nacional","41",18,13
"ACEVEDO","ALVAREZ","EDUARDO","","Partido Colorado","28",57,57
"ACEVEDO","ALVAREZ","EDUARDO","","Partido Colorado","29",57,57
"ACEVEDO","ALVAREZ","EDUARDO","","Partido Colorado","30",57,57
"ACEVEDO","ALVAREZ","EDUARDO","","Partido Colorado","34",57,57
"ACEVEDO","ALVAREZ","EDUARDO","","Partido Colorado","35",57,57
"ACEVEDO","DIAZ","EDUARDO","","Partido Nacional","21",62,57
"ACEVEDO","","EDUARDO","","Partido Colorado","24",57,57
"ACEVEDO","ALVAREZ","EDUARDO","","Partido Colorado","36",57,57
"AGORIO","","LEOPOLDO","","Union Popular","38",113,113
"AGORIO","","LEOPOLDO","","Partido Socialista","37",114,113
"ALONSO","","NELSON","","Partido Colorado","40",219,219
"ALONSO","","NELSON","","Frente Amplio","42",220,219
"ALONSO","","NELSON","","Partido por el Gobierno del Pueblo","43",221,219
"ALVAREZ","CORTES","JUAN","","Partido Colorado","28",250,250
"ALVAREZ","","JUAN","C.","Partido Nacional","39",265,250
"AMORIN","BATLLE","JOSE","","Partido Colorado","42",338,338
"AMORIN","BATLLE","JOSE","","Partido Colorado","43",338,338
"AMORIN","BATLLE","JOSE","","Partido Colorado","44",338,338
"AMORIN","BATLLE","JOSE","","Partido Colorado","45",338,338
"AMORIN","BATLLE","JOSE","","Partido Colorado","46",338,338
"AMORIN","BATLLE","JOSE","","Partido Colorado","47",338,338
"AMORIN","","JOSE","","Partido Independiente","48",347,338
"AMORIN","BATLLE","JOSE","","Partido Colorado","48",338,338
"ANDRADE","AMBROSONI","JORGE","","Partido Socialista","38",362,362
"ANDRADE","AMBROSONI","JORGE","","Frente Amplio","42",363,362
"ANTUNEZ","","ADEMAR","","Union Popular","38",423,423
"ANTUNEZ","","ADEMAR","","Movimiento Progresista","38",424,423
"ANTUÑA","","JOSE","G.","Partido Colorado","25",428,428
"ANTUÑA","","JOSE","G.","Partido Colorado","26",428,428
"ANTUÑA","","JOSE","G.","Partido Colorado","27",428,428
"ANTUÑA","","JOSE","G.","Partido Colorado","32",428,428
"ANTUÑA","","JOSE","G.","Partido Colorado","33",428,428
"ANTUÑA","","JOSE","","Union Democrata Reformista","37",433,428
"ARIAS","","JOSE","F.","Partido Colorado","25",519,519
"ARIAS","","JOSE","F.","Partido Colorado","26",519,519
"ARIAS","","JOSE","F.","Partido Colorado","27",519,519
"ARIAS","","JOSE","","Partido Nacional","40",522,519
"ARISMENDI","","RODNEY","","Partido Comunista del Uruguay","34",526,526
"ARISMENDI","","RODNEY","","Partido Comunista del Uruguay","35",526,526
"ARISMENDI","","RODNEY","","Partido Comunista del Uruguay","36",526,526
"ARISMENDI","","RODNEY","","Partido Comunista del Uruguay","37",526,526
"ARISMENDI","","RODNEY","","Partido Comunista del Uruguay","38",526,526
"ARISMENDI","","RODNEY","","Frente Izquierda de Liberacion","39",531,526
"ARISMENDI","","RODNEY","","Frente Izquierda de Liberacion","40",531,526
"ARISMENDI","","RODNEY","","Frente Amplio","41",533,526
"AROCENA","","JOSE","ANDRES","Partido Colorado","48",555,555
"AROCENA","ARGUI","JOSE","ANDRES","Partido Nacional","47",556,555
"AROCENA","","JOSE","","Partido Independiente","47",557,555
"AROCENA","","JOSE","","Partido Independiente","48",557,555
"ARRARTE","CORBO","CECILIO","","Partido Nacional","30",574,574
"ARRARTE","CORBO","CECILIO","","Partido Nacional","31",574,574
"ARRARTE","CORBO","CECILIO","","Partido Nacional Independiente","34",576,574
"ARRILLAGA","DUTRA","JOSE","LUIS","Partido Nacional","34",589,589
"ARRILLAGA","DUTRA","JOSE","LUIS","Partido Nacional","35",589,589
"ARRILLAGA","","JOSE","SERVANDO","Partido por el Gobierno del Pueblo","43",608,589
"ARRILLAGA","","JOSE","SERVANDO","Nuevo Espacio","44",609,589
"ASTIAZARAN","","PANTALEON","","Partido Nacional","31",646,646
"ASTIAZARAN","","PANTALEON","","Partido Nacional Independiente","34",647,646
"ASTIAZARAN","","PANTALEON","","Partido Nacional Independiente","35",647,646
"ASTIAZARAN","","PANTALEON","","Partido Nacional Independiente","36",647,646
"ASTIAZARAN","","PANTALEON","","Partido Nacional","38",646,646
"BARGO","","ARSENIO","","Partido Colorado","33",810,810
"BARGO","","ARSENIO","M.","Partido Nacional","33",811,810
"BARGO","","ARSENIO","","Union Democrata Reformista","37",812,810
"BARLA","","MARTIN","","Partido Nacional","47",814,814
"BARLA","","MARTIN","","Partido Colorado","48",815,814
