primer_apellido,segundo_apellido,primer_nombre,segundo_nombre,partido,legislatura,cluster_id,id_unificado
AGORIO,,LEOPOLDO,,Union Popular,38,113,113
AGORIO,,LEOPOLDO,,Partido Socialista,37,114,113
ALONSO,,NELSON,,Frente Amplio,42,220,219
ANDRADE,AMBROSONI,JORGE,,Partido Socialista,38,362,362
ANDRADE,AMBROSONI,JORGE,,Frente Amplio,42,363,362
ANTUNEZ,,ADEMAR,,Union Popular,38,423,423
ARISMENDI,,RODNEY,,Frente Izquierda de Liberacion,39,531,526
ARISMENDI,,RODNEY,,Frente Izquierda de Liberacion,40,531,526
ARISMENDI,,RODNEY,,Frente Amplio,41,533,526
ARRILLAGA,,JOSE,SERVANDO,Nuevo Espacio,44,609,589
BATALLA,,HUGO,,Frente Amplio,41,869,866
BATALLA,,HUGO,,Frente Amplio,42,869,866
BATALLA,,HUGO,,Nuevo Espacio,42,874,866
BENTANCOUR,,JUAN,JOSE,Frente Amplio,45,1006,1006
BERNHARD,,GUILLERMO,,Partido Socialista,39,1047,1047
BERNHARD,,GUILLERMO,,Union Popular,38,1048,1047
BERTACHI,,CARLOS,,Frente Amplio,42,1102,1102
CAPUTTI,,TABARE,,Frente Amplio,42,1603,1603
CARDOSO,,JOSE,PEDRO,Partido Socialista,33,1651,1651
CARDOSO,,JOSE,PEDRO,Partido Socialista,34,1651,1651
CARDOSO,,JOSE,PEDRO,Partido Socialista,35,1651,1651
CARDOSO,,JOSE,PEDRO,Partido Socialista,36,1651,1651
CARDOSO,,JOSE,PEDRO,Partido Socialista,37,1651,1651
CARDOSO,,JOSE,PEDRO,Partido Socialista,38,1651,1651
CARDOSO,,JOSE,PEDRO,Frente Amplio,42,1657,1651
CARDOSO,,JOSE,PEDRO,Partido Socialista,39,1651,1651
CASSINA,,CARLOS,,Frente Amplio,42,1760,1760
CASTRO,,JUAN,,Frente Amplio,48,1806,1784
CASTRO,BIANCHINO,OMAR,,Union Popular,38,1809,1790
CIGLIUTI,,DANIEL,,Nuevo Espacio,44,1972,1972
CIGLIUTI,,DANIEL,,Nuevo Espacio,45,1972,1972
CIGLIUTI,,DANIEL,,Frente Amplio,48,1974,1972
COLLAZO,,ARIEL,,Frente Izquierda de Liberacion,39,2016,2015
