primer_apellido,segundo_apellido,primer_nombre,segundo_nombre,partido,legislatura,cluster_id,id_unificado
ABADIE,,HORACIO,,Partido Nacional,43,2,1
ABADIE,PEREZ,HORACIO,,Partido Nacional,45,2,1
ABDALA,,CARLOS,,Partido Nacional,41,18,13
ACEVEDO,DIAZ,EDUARDO,,Partido Nacional,21,62,57
ALVAREZ,,JUAN,C.,Partido Nacional,39,265,250
ARIAS,,JOSE,,Partido Nacional,40,522,519
AROCENA,ARGUI,JOSE,ANDRES,Partido Nacional,47,556,555
ARRARTE,CORBO,CECILIO,,Partido Nacional,30,574,574
ARRARTE,CORBO,CECILIO,,Partido Nacional,31,574,574
ARRARTE,CORBO,CECILIO,,Partido Nacional Independiente,34,576,574
ARRILLAGA,DUTRA,JOSE,LUIS,Partido Nacional,34,589,589
ARRILLAGA,DUTRA,JOSE,LUIS,Partido Nacional,35,589,589
ASTIAZARAN,,PANTALEON,,Partido Nacional,31,646,646
ASTIAZARAN,,PANTALEON,,Partido Nacional Independiente,34,647,646
ASTIAZARAN,,PANTALEON,,Partido Nacional Independiente,35,647,646
ASTIAZARAN,,PANTALEON,,Partido Nacional Independiente,36,647,646
ASTIAZARAN,,PANTALEON,,Partido Nacional,38,646,646
BARGO,,ARSENIO,M.,Partido Nacional,33,811,810
BARLA,,MARTIN,,Partido Nacional,47,814,814
BARREIRO,,AMBROSIO,,Partido Nacional,45,828,827
BARREIRO,,AMBROSIO,,Partido Nacional,46,828,827
BARRIOS,AMORIN,JAVIER,,Partido Nacional,29,838,838
BARRIOS,AMORIN,JAVIER,,Partido Nacional,30,838,838
BARRIOS,AMORIN,JAVIER,,Partido Nacional,34,838,838
BARRIOS,AMORIN,JAVIER,,Partido Nacional Independiente,35,841,838
BARRIOS,AMORIN,JAVIER,,Partido Nacional Independiente,36,841,838
BARRIOS,AMORIN,JAVIER,,Partido Nacional Independiente,37,841,838
BARRIOS,ANZA,JAVIER,,Partido Nacional,42,838,8891
BARRIOS,ANZA,JAVIER,,Partido Nacional,43,838,8891
BARRIOS,ANZA,JAVIER,,Partido Nacional,44,838,8891
BARRIOS,AMORIN,JAVIER,,Partido Nacional,37,838,838
BECEIRO,,VICTOR,,Partido Nacional Independiente,36,937,937
BECEIRO,,VICTOR,,Partido Nacional,29,938,937
BECEIRO,,VICTOR,,Partido Nacional,31,938,937
BELTRAN,MULLIN,WASHINGTON,,Partido Nacional Independiente,35,963,965
BELTRAN,MULLIN,WASHINGTON,,Partido Nacional Independiente,36,963,965
BELTRAN,MULLIN,WASHINGTON,,Partido Nacional,37,965,965
BELTRAN,MULLIN,WASHINGTON,,Partido Nacional,38,965,965
BELTRAN,MULLIN,WASHINGTON,,Partido Nacional,39,965,965
BELTRAN,MULLIN,WASHINGTON,,Partido Nacional,40,965,965
BELTRAN,MULLIN,WASHINGTON,,Partido Nacional,41,965,965
BELTRAN,,ENRIQUE,,Partido Nacional Independiente,36,970,970
BELTRAN,,ENRIQUE,,Partido Nacional,39,971,970
BELTRAN,,ENRIQUE,,Partido Nacional,40,971,970
BELTRAN,,ENRIQUE,,Partido Nacional,41,971,970
BELTRAN,,WASHINGTON,,Partido Nacional,25,965,963
BELTRAN,,WASHINGTON,,Partido Nacional,26,965,963
BELTRAN,,WASHINGTON,,Partido Nacional,27,965,963
BERTON,,SERGIO,,Partido Nacional,48,1112,1111
BIANCHI,,LUIS,A.,Partido Nacional,48,1148,1138
BOGLIACCINI,,RAUL,,Partido Nacional,33,1202,1202
BORDABERRY,,JUAN,MARIA,Partido Nacional,39,1255,1255
BOTANA,,SERGIO,,Partido Nacional,46,1294,1294
BOTANA,,SERGIO,,Partido Nacional,47,1294,1294
BOTANA,,SERGIO,,Partido Nacional,49,1294,1294
BOTTINELLI,,EDUARDO,P.,Partido Nacional Independiente,35,1300,1300
BOTTINELLI,,EDUARDO,P.,Partido Nacional Independiente,36,1300,1300
BOTTINELLI,,EDUARDO,P.,Partido Nacional Independiente,37,1300,1300
BOTTINELLI,,EDUARDO,P.,Partido Nacional,38,1303,1300
BOVE,ARTEAGA,JOSE,,Partido Nacional,36,1313,1313
BOVE,ARTEAGA,JOSE,,Partido Nacional,37,1313,1313
BOVE,ARTEAGA,JOSE,,Partido Nacional,38,1313,1313
BOVE,ARTEAGA,JOSE,,Partido Nacional,39,1313,1313
CABRERA,,CARMELO,,Partido Nacional,30,1457,1457
CABRERA,,CARMELO,,Partido Nacional,31,1457,1457
CABRERA,,CARMELO,,Partido Nacional,32,1457,1457
CABRERA,,CARMELO,,Partido Nacional,33,1457,1457
CARDOSO,,JOSE,CARLOS,Partido Nacional,47,1663,1651
CARDOSO,,JOSE,CARLOS,Partido Nacional,48,1663,1651
CARESANI,MESA,HOLF,,Partido Nacional,43,1689,1688
CARNELLI,,LORENZO,,Partido Nacional,26,1702,1702
CARNELLI,,LORENZO,,Partido Nacional,27,1702,1702
CARNELLI,,LORENZO,,Partido Nacional,28,1702,1702
CASTELLI,,HUMBERTO,,Partido Nacional,31,1776,1775
CASTELLI,,HUMBERTO,L.,Partido Nacional,39,1776,1775
CASTELLI,,HUMBERTO,L.,Partido Nacional,40,1776,1775
CASTRO,RIERA,OMAR,,Partido Nacional,44,1790,1790
CASTRO,,EDUARDO,,Partido Nacional,47,1804,1797
CASTRO,,EDUARDO,,Partido Nacional,48,1804,1797
CHELONI,,CONRADO,,Partido Nacional,38,1897,1896
COLLAZO,,ARIEL,,Partido Nacional,38,2015,2015
CORE,,FLORENCIO,,Partido Nacional,34,2045,2045
CORE,,FLORENCIO,,Partido Nacional,36,2045,2045
CORE,,FLORENCIO,,Partido Nacional,39,2045,2045
COSSIO,,VALENTIN,,Partido Nacional,35,2101,2101
COSSIO,,VALENTIN,,Partido Nacional,39,2101,2101
DE ARTEAGA,,CLODOMIRO,,Partido Nacional,39,2261,2259
DEL VALLE,VALLE,VICTOR,H.,Partido Nacional,47,2407,2407
DELGADO,,GUSTAVO,,Partido Nacional,47,2424,2424
DIAZ,,JOSE,RAMON,Partido Nacional,38,2466,2463
DIAZ,,RAMON,P.,Partido Nacional,28,2474,2474
DIAZ,,RAMON,P.,Partido Nacional,29,2474,2474
DIAZ,,RAMON,P.,Partido Nacional,30,2474,2474
DIAZ,,OMAR,,Partido Nacional,48,2486,2486
DURAN,RUBIO,ANTONIO,M.,Partido Nacional Independiente,34,2572,2572
DURAN,RUBIO,ANTONIO,M.,Partido Nacional Independiente,35,2572,2572
DURAN,RUBIO,ANTONIO,M.,Partido Nacional,38,2574,2572
DURAN,RUBIO,ANTONIO,M.,Partido Nacional,39,2574,2572
ERRO,,ENRIQUE,,Partido Nacional,36,2652,2652
ERRO,,ENRIQUE,,Partido Nacional,37,2652,2652
ERRO,,ENRIQUE,,Partido Nacional,38,2652,2652
ETCHEGARAY,,PEDRO,,Partido Nacional,21,2737,2737
ETCHEVERRY,,JUAN,,Partido Nacional,37,2763,2761
ETCHEVERRY,,JUAN,,Partido Nacional,41,2763,2761
ETCHEVERRY,(H),JUAN,,Partido Nacional,39,2763,2761
FERNANDEZ,,ALEJANDRO,,Partido Nacional,26,2853,2853
FERNANDEZ,,ALEJANDRO,,Partido Nacional,28,2853,2853
FERNANDEZ,SALDAÑA,JOSE,MARIA,Partido Nacional,23,2880,2865
FERNANDEZ,CRESPO,DANIEL,,Partido Nacional,31,2889,2860
FERNANDEZ,CRESPO,DANIEL,,Partido Nacional,32,2889,2860
FERNANDEZ,CRESPO,DANIEL,,Partido Nacional,33,2889,2860
FERNANDEZ,CRESPO,DANIEL,,Partido Nacional,34,2889,2860
FERNANDEZ,CRESPO,DANIEL,,Partido Nacional,35,2889,2860
FERNANDEZ,CRESPO,DANIEL,,Partido Nacional,36,2889,2860
FERNANDEZ,CRESPO,DANIEL,,Partido Nacional,39,2889,2860
FERNANDEZ,CRESPO,DANIEL,,Partido Nacional,37,2889,2860
FERNANDEZ,CRESPO,DANIEL,,Partido Nacional,38,2889,2860
FERNANDEZ,MARIN,WASHINGTON,,Partido Nacional,38,2954,2883
FIGOLI,,LUIS,,Partido Nacional,38,3042,3035
FULCO,,CARLOS,,Partido Nacional,48,3177,3176
FUREST,,JUAN,CARLOS,Partido Nacional,42,3182,3181
FUREST,,JUAN,CARLOS,Partido Nacional,43,3182,3181
GALAN,,MIGUEL,,Partido Nacional,41,3206,3206
GALLINAL,,GUSTAVO,,Partido Nacional,28,3228,3228
GALLINAL,,GUSTAVO,,Partido Nacional,29,3228,3228
GALLINAL,,GUSTAVO,,Partido Nacional,30,3228,3228
GALLINAL,,GUSTAVO,,Partido Nacional,31,3228,3228
GALLINAL,,GUSTAVO,,Partido Nacional Independiente,34,3232,3228
GALLINAL,,GUSTAVO,,Partido Nacional Independiente,35,3232,3228
GALLINAL,,GUSTAVO,,Partido Nacional Independiente,36,3232,3228
GARCIA,PINTOS,SALVADOR,,Partido Nacional,40,3316,3316
GARCIA,COSTA,GUILLERMO,,Partido Nacional,40,3340,3304
GARCIA,COSTA,GUILLERMO,,Partido Nacional,41,3340,3304
GARCIA,COSTA,GUILLERMO,,Partido Nacional,42,3340,3304
GARCIA,COSTA,GUILLERMO,,Partido Nacional,44,3340,3304
GARCIA,COSTA,GUILLERMO,,Partido Nacional,45,3340,3304
GARCIA,MORALES,ALFREDO,,Partido Nacional,26,3348,3348
GARCIA,MORALES,ALFREDO,,Partido Nacional,27,3348,3348
GARCIA,MORALES,ALFREDO,,Partido Nacional,28,3348,3348
GARCIA,MORALES,ALFREDO,,Partido Nacional,29,3348,3348
GARCIA,MORALES,ALFREDO,,Partido Nacional,30,3348,3348
GARCIA,MORALES,ALFREDO,,Partido Nacional Independiente,34,3353,3348
GARCIA,COSTA,GUILLERMO,,Partido Nacional,43,3340,3304
GIAMBRUNO,,CYRO,,Partido Nacional,32,3462,3462
GIAMBRUNO,,CYRO,,Partido Nacional,33,3462,3462
GIAMBRUNO,,CYRO,,Partido Nacional,34,3462,3462
GIAMBRUNO,,CYRO,,Partido Nacional,35,3462,3462
GOMEZ,LARRIERA,FRANCISCO,,Partido Nacional,42,3561,3552
GONZALEZ,ALVAREZ,CARLOS,,Partido Nacional,45,3571,3571
GONZALEZ,ALVAREZ,CARLOS,,Partido Nacional,46,3571,3571
GONZALEZ,VIDART,ARTURO,,Partido Nacional,29,3598,3598
GONZALEZ,VIDART,ARTURO,,Partido Nacional,30,3598,3598
GONZALEZ,VIDART,ARTURO,,Partido Nacional,31,3598,3598
GONZALEZ,,CARLOS,H.,Partido Nacional,45,3571,3571
GONZALEZ,VIDART,ARTURO,,Partido Nacional Independiente,34,3622,3598
GONZALEZ,,MABEL,,Partido Nacional,47,3631,3610
GONZALEZ,,HUGO,,Partido Nacional,48,3644,3594
GONZALEZ,,PEDRO,A.,Partido Nacional,29,3648,3647
GONZALEZ,,PEDRO,A.,Partido Nacional,31,3648,3647
GUTIERREZ,,FERNANDO,,Partido Nacional,25,3803,3803
GUTIERREZ,,FERNANDO,,Partido Nacional,26,3803,3803
GUTIERREZ,,FERNANDO,,Partido Nacional,30,3803,3803
HUGALDE,,JULIO,,Partido Nacional,37,3952,3951
IGLESIAS,PUIG,ALBERTO,,Partido Nacional,39,3998,3997
IGLESIAS,PUIG,ALBERTO,,Partido Nacional,40,3998,3997
MULLER,,JUAN,JOSE,Partido Nacional,48,4091,4090
KOSTER,,LUIS,,Partido Nacional,33,4119,4119
LOPEZ,AGUERRE,JUAN,,Partido Nacional,27,4403,4403
LOPEZ,AGUERRE,JUAN,,Partido Nacional,28,4403,4403
LOPEZ,AGUERRE,JUAN,,Partido Nacional,29,4403,4403
LOPEZ,AGUERRE,JUAN,,Partido Nacional,30,4403,4403
LOPEZ,DE HARO,LUIS,,Partido Nacional,43,4418,4418
LOPEZ,,JUAN,JOSE,Partido Nacional,47,4403,8072
