"primer_apellido","segundo_apellido","primer_nombre","segundo_nombre","partido","legislatura","cluster_id","id_unificado"
"ABADIE","SANTOS","HORACIO","","Partido Colorado","32",1,1
"ABADIE","SANTOS","HORACIO","","Partido Colorado","40",1,1
"ABDALA","","CARLOS","","Partido Colorado","44",13,13
"ACEVEDO","ALVAREZ","EDUARDO","","Partido Colorado","28",57,57
"ACEVEDO","ALVAREZ","EDUARDO","","Partido Colorado","29",57,57
"ACEVEDO","ALVAREZ","EDUARDO","","Partido Colorado","30",57,57
"ACEVEDO","ALVAREZ","EDUARDO","","Partido Colorado","34",57,57
"ACEVEDO","ALVAREZ","EDUARDO","","Partido Colorado","35",57,57
"ACEVEDO","","EDUARDO","","Partido Colorado","24",57,57
"ACEVEDO","ALVAREZ","EDUARDO","","Partido Colorado","36",57,57
"ALONSO","","NELSON","","Partido Colorado","40",219,219
"ALONSO","","NELSON","","Partido por el Gobierno del Pueblo","43",221,219
"ALVAREZ","CORTES","JUAN","","Partido Colorado","28",250,250
"AMORIN","BATLLE","JOSE","","Partido Colorado","42",338,338
"AMORIN","BATLLE","JOSE","","Partido Colorado","43",338,338
"AMORIN","BATLLE","JOSE","","Partido Colorado","44",338,338
"AMORIN","BATLLE","JOSE","","Partido Colorado","45",338,338
"AMORIN","BATLLE","JOSE","","Partido Colorado","46",338,338
"AMORIN","BATLLE","JOSE","","Partido Colorado","47",338,338
"AMORIN","","JOSE","","Partido Independiente","48",347,338
"AMORIN","BATLLE","JOSE","","Partido Colorado","48",338,338
"ANTUNEZ","","ADEMAR","","Movimiento Progresista","38",424,423
"ANTUÑA","","JOSE","G.","Partido Colorado","25",428,428
"ANTUÑA","","JOSE","G.","Partido Colorado","26",428,428
"ANTUÑA","","JOSE","G.","Partido Colorado","27",428,428
"ANTUÑA","","JOSE","G.","Partido Colorado","32",428,428
"ANTUÑA","","JOSE","G.","Partido Colorado","33",428,428
"ANTUÑA","","JOSE","","Union Democrata Reformista","37",433,428
"ARIAS","","JOSE","F.","Partido Colorado","25",519,519
"ARIAS","","JOSE","F.","Partido Colorado","26",519,519
"ARIAS","","JOSE","F.","Partido Colorado","27",519,519
"ARISMENDI","","RODNEY","","Partido Comunista del Uruguay","34",526,526
