"primer_apellido","segundo_apellido","primer_nombre","segundo_nombre","fecha_nac","id_politico","agregado","id_fuente","fecha_desde","fecha_hasta","formas_de_escribir"
"ACOSTA","Y LARA","GUZMAN",NA,1969-12-12,4258,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"ACQUISTAPACE",NA,"JOSE","A.",NA,13,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"ALONSO",NA,"JUSTO","M.",NA,35,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"AMARAL",NA,"MARIO","ALBERTO",NA,3809,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"ANDRADE",NA,"HOMERO","E.",1903-07-18,3569,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"ANTUÑA",NA,"JOSE","G.",NA,75,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"APOLO",NA,"JUAN","JACINTO",NA,3814,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"ARIAS",NA,"JOSE","F.",NA,98,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"AROCENA","NOCETTI","ANDRES",NA,1935-05-14,3815,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"ARRIAGA",NA,"NERI",NA,NA,117,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"ARRILLAGA","TERRA","FRANCISCO",NA,NA,4344,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"ARTECONA",NA,"ARTURO","A.",NA,125,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"ASTIAZARAN",NA,"LEONARDO","E.",NA,132,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"AZNARES",NA,"VALENTIN",NA,NA,146,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BADO",NA,"AUGUSTO","CESAR",1906-06-01,4345,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BADO",NA,"RAMON","F.",NA,152,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BARBIERI",NA,"ARMANDO","I.",1895-06-01,168,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BARGO",NA,"ARSENIO","M.",NA,1520,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BATLLE","IBAÑEZ","JORGE",NA,1927-10-25,3831,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BELTRAN","MULLIN","WASHHINGTON",NA,1914-04-06,3804,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BENAVIDES",NA,"VICTOR",NA,NA,200,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BERCHESI",NA,"NILO","R.",1915-06-01,2467,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BERRETA","GANDOLFO","TOMAS",NA,1875-11-22,3837,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BERTINAT",NA,"RAUL","E.",1969-11-26,2890,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BESSONART",NA,"EMILIO","L.",1901-06-01,216,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BIANCHI","ESPINDOLA","RAUL",NA,1917-05-25,3842,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BIANCHI",NA,"HORACIO","A.",NA,1562,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BLANCO","H","JUAN","CARLOS",NA,222,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BLENGIO","ROCA","JUAN",NA,NA,224,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BOGLIACCINI",NA,"RAUL","F.",NA,1572,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BONJOUR",NA,"JUAN","C.",1953-04-18,2918,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BORDABERRY",NA,"JUAN","MARIA",1928-06-17,3864,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BRAUSE",NA,"LUIS","ALBERTO",1907-06-01,3844,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BRUGMAN",NA,"DARIO",NA,1955-04-14,2916,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BUERO",NA,"JUAN","ANTONIO",NA,3847,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BURGEÑO",NA,"GUILLERMO",NA,NA,2692,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"CALLORDA","FERNANDEZ","JULIO",NA,1922-02-08,3851,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"CAMBIASSO",NA,"FRANCISCO","P.",NA,3502,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"CAMELO",NA,"CARLOS","E.",1985-05-21,2879,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"CAMPAL",NA,"ESTEBAN","F.",1913-06-01,3387,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"CASTRO",NA,"FELICIANO",NA,NA,5288,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"GHIRARDI",NA,"JULIO",NA,1936-12-07,5289,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"FERNANDEZ",NA,"JORGE",NA,NA,5290,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"RODRIGUEZ",NA,"NATALIA",NA,NA,5291,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"MARIÑO",NA,"FRANCISCO",NA,1903-10-10,5292,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"BOIX",NA,"JUAN",NA,1935-06-24,5293,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"BONILLA",NA,"IGNACIO",NA,NA,5294,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"KUSTER",NA,"LUIS",NA,1899-06-01,5295,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"RIANI",NA,"ARIEL","E.",1926-08-28,5296,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"RODRIGUEZ",NA,"ENRIQUE",NA,1910-06-01,5298,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"BARRAN",NA,"ALBERTO",NA,NA,5299,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"ANCEL",NA,"MARIO",NA,1943-02-08,5300,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"MOREIRA",NA,"JULIO","CESAR",NA,1958,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"MOREIRA",NA,"MARIA","ELOISA",NA,1959,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"MORENO",NA,"ANGEL","ALBERTO",NA,1960,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"MORENO",NA,"GRISEL",NA,1960-11-30,1961,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"MUNIZ","DURAND","HORACIO",NA,1949-01-22,1963,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"MUÑOZ",NA,"CLEMENTE",NA,NA,1964,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"MURISSICH",NA,"ERNESTO",NA,NA,1965,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"NAREZ","JURI","CELEM",NA,1923-11-08,1966,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"NAVARRETE","NOBLIA","CARLOS",NA,NA,1967,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"NERIZ","AGUIAR","URBAL",NA,1933-05-26,1968,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"NEY","ROMERO","CARLOS",NA,1956-09-01,1969,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"NIETO",NA,"DARO",NA,NA,1971,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"NUÑEZ","CONNIO","LUIS","A.",1931-03-14,1972,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"NUÑEZ","GUERRA","SILVIO",NA,1950-01-12,1973,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"NUÑEZ",NA,"LUCIO",NA,NA,1974,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"NUÑEZ","MENDARO","BAUDILIO",NA,NA,1975,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"NUÑEZ",NA,"NYDIA","MARIA",1948-07-13,1976,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"ODINI",NA,"JOSE","EUGENIO",NA,1977,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
