"primer_apellido","segundo_apellido","primer_nombre","segundo_nombre","id_politico","partido","fecha_inicio","fecha_fin","legislatura","cargo","status","circunscripcion","sexo","fuente","fecha_nac","fecha_inicio_l","fecha_fin_l","fecha_intermedia","ed_asumir_1","ed_asumir","edad_asumir","legislaturas_agrupadas"
"ABDALA",NA,"PABLO",NA,1453,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1966-07-14,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,43,43,"1985-2020"
"ABREU",NA,"SERGIO",NA,6,"Partido Nacional",2010-02-15,NA,47,"Senador","Titular",NA,1,NA,1945-11-12,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,64,64,"1985-2020"
"AGAZZI",NA,"ERNESTO",NA,14,"Frente Amplio",2010-02-15,NA,47,"Senador","Titular",NA,1,NA,1942-09-04,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,67,67,"1985-2020"
"ALONSO",NA,"VERONICA",NA,2399,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","Montevideo",0,NA,1973-10-24,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,36,36,"1985-2020"
"AMADO",NA,"FERNANDO",NA,2387,"Partido Colorado",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,NA,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,NA,NA,"1985-2020"
"AMY",NA,"JOSE",NA,2384,"Partido Colorado",2010-02-15,NA,47,"Diputado","Titular","Soriano",1,NA,1967-11-03,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,42,42,"1985-2020"
"ARREGUI",NA,"ROQUE",NA,1493,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Soriano",1,NA,1950-08-16,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,59,59,"1985-2020"
"ASTORI",NA,"DANILO",NA,137,"Frente Amplio",2010-02-15,NA,47,"Senador","Titular",NA,1,NA,1940-04-23,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,69,69,"1985-2020"
"BANGO",NA,"JULIO",NA,2311,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1962-09-10,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,47,47,"1985-2020"
"BARAIBAR",NA,"CARLOS",NA,1512,"Frente Amplio",2010-02-15,NA,47,"Senador","Titular",NA,1,NA,1939-07-13,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,70,70,"1985-2020"
"BATTISTONI",NA,"JULIO",NA,2327,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1945-01-02,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,65,65,"1985-2020"
