"primer_apellido","segundo_apellido","primer_nombre","segundo_nombre","id_politico","partido","inicio","fin","legislatura","cargo","status","circunscripcion","sexo","fecha_nac","fecha_inicio_l","fecha_fin_l","legislaturas_agrupadas","agregado","fecha_intermedia","ed_asumir","ed_asumir_1","edad_asumir"
"ABDALA","SCHWARZ","PABLO","DANIEL",1453,"Partido Nacional",2010,2015,47,"Diputado","Titular","Montevideo",1,1966-07-14,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,43,NA,43
"ALONSO","MONTANO","VERONICA","MARIA",2399,"Partido Nacional",2010,2015,47,"Diputado","Titular","Montevideo",0,1973-10-24,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,36,NA,36
"CHIESA","BRUNO","ANTONIO",NA,4371,"Partido Nacional",2010,2015,47,"Diputado","Titular","Tacuarembó",1,1953-07-26,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,56,NA,56
"CONDE","CARRERAS","ROBERTO",NA,363,"Frente Amplio",2010,2013,47,"Diputado","Titular","Canelones",1,1952-09-07,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,57,NA,57
"COUTINHO","RODRIGUEZ","GERMAN","MANUEL",2381,"Partido Colorado",2010,2010,47,"Diputado","Titular",NA,1,1970-04-01,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,39,NA,39
"DE LEON","OJEDA","WALTER","ULISES",2295,"Frente Amplio",2010,2015,47,"Diputado","Titular","San José",1,1951-02-20,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,58,NA,58
"DE TORO","GONZALEZ","GONZALO",NA,2338,"Frente Amplio",2010,2011,47,"Diputado","Titular","Montevideo",1,1950-06-08,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,59,NA,59
"DELGADO CERETTA",NA,"ALVARO",NA,445,"Partido Nacional",2010,2015,47,"Diputado","Titular","Montevideo",1,1969-03-11,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,40,NA,40
"ENCISO","CHRISTIANSEN","CARLOS","FERNANDO",3888,"Partido Nacional",2010,2010,47,"Diputado","Titular","Florida",1,1967-08-23,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,42,NA,42
"ESPINOSA","MARMOL","GUSTAVO","ADRIAN",498,"Partido Colorado",2010,2015,47,"Diputado","Titular","Canelones",1,1965-01-10,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,45,NA,45
"FERNANDEZ","HUIDOBRO","ELEUTERIO",NA,531,"Frente Amplio",2010,2010,47,"Diputado","Titular",NA,1,1942-03-14,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,67,NA,67
"FRACHIA","BRAIDA","ROBERTO","FRANCISCO",2342,"Frente Amplio",2010,2011,47,"Diputado","Titular","Lavalleja",1,1943-11-21,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,66,NA,66
"GANDINI","ASTESIANO","JORGE","OSVALDO",1797,"Partido Nacional",2010,2015,47,"Diputado","Titular","Montevideo",1,1958-03-05,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,51,NA,51
"GARCIA","DUCHINI","JAVIER","FERNANDO",3917,"Partido Nacional",2010,2015,47,"Diputado","Titular","Montevideo",1,1963-11-28,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,46,NA,46
"GARINO","GRUSS","JUAN","MANUEL",2376,"Partido Colorado",2010,2015,47,"Diputado","Titular","Montevideo",1,1981-12-15,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,28,NA,28
"GLOODTDOFSKY","FERNANDEZ","ANIBAL",NA,2372,"Partido Colorado",2010,2015,47,"Diputado","Titular","Montevideo",1,1960-09-27,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,49,NA,49
"GROBA","ARRIONDO","OSCAR",NA,3934,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",1,1951-01-10,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,59,NA,59
"IBARRA","FERREIRA","DOREEN","JAVIER",3941,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",1,1934-05-03,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,75,NA,75
"AMADO","FERNANDEZ","FERNANDO",NA,2387,"Partido Colorado",2010,2014,47,"Diputado","Titular","Montevideo",1,1982-09-11,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,27,NA,27
"AMARILLA","DE","GERARDO","ANDRES",4369,"Partido Nacional",2010,2015,47,"Diputado","Titular","Rivera",1,1969-02-01,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,41,NA,41
"AMY","TEJERA","JOSE","ANTONIO",2384,"Partido Colorado",2010,2015,47,"Diputado","Titular","Soriano",1,1967-11-03,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,42,NA,42
"ITURRALDE","VINAS","PABLO","LUIS",3945,"Partido Nacional",2010,2015,47,"Diputado","Titular","Montevideo",1,1959-09-23,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,50,NA,50
"LACALLE","POU","LUIS","ALBERTO",770,"Partido Nacional",2010,2015,47,"Diputado","Titular","Canelones",1,1973-08-11,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,36,NA,36
"LAURNAGA","ARREGUI","MARIA","ELENA",2335,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",0,1954-12-04,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,55,NA,55
"LIMA","PROSERPIO","ANDRES","PABLO",3954,"Frente Amplio",2015,2015,47,"Diputado","Titular","Salto",1,1973-10-31,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,36,NA,36
"LIMA","PROSERPIO","ANDRES","PABLO",3954,"Frente Amplio",2010,2014,47,"Diputado","Titular","Salto",1,1973-10-31,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,36,NA,36
"MAGURNO","SOUTO","OSCAR",NA,853,"Partido Colorado",2010,2010,47,"Diputado","Titular","Montevideo",1,1930-03-03,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,79,NA,79
"MAHIA","FREIRE","JOSE","CARLOS",3967,"Frente Amplio",2010,2015,47,"Diputado","Titular","Canelones",1,1966-08-08,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,43,NA,43
"MALLO","CALVINO","ALMA","SONIA",4178,"Partido Colorado",2010,2014,47,"Diputado","Titular","Montevideo",0,1940-08-09,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,69,NA,69
"MARTINEZ","HUELMO","RUBEN","WALDEMAR",3984,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",1,1949-09-27,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,60,NA,60
"MATIAUDE","ESPINO","GRACIELA","VENANCIA MARIA",2373,"Partido Colorado",2010,2015,47,"Diputado","Titular","Canelones",0,1957-03-14,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,52,NA,52
