,nombre,fecha_nac,cargo,partido,status,inicio,fin,primer_apellido,segundo_apellido,primer_nombre,segundo_nombre,sexo,legislatura,fecha_inicio_l,fecha_fin_l,legislaturas_agrupadas
0,"ABDALA SCHWARZ, PABLO DANIEL",1966-07-14,Diputado,Partido Nacional,Titular,2015,2020,ABDALA,SCHWARZ,PABLO,DANIEL,1,48,2015-02-15,2020-02-14,1985-2020
1,"ACOSTA MARTIRENA, AURO RAMON",1964-05-04,Diputado,Partido Nacional,Suplente,2015,2019,ACOSTA,MARTIRENA,AURO,RAMON,1,48,2015-02-15,2020-02-14,1985-2020
2,"AGAZZI SARASOLA, ERNESTO",1942-09-04,Senador,Frente Amplio,Titular,2015,2016,AGAZZI,SARASOLA,ERNESTO,,1,48,2015-02-15,2020-02-14,1985-2020
3,"AGUERO DEMETRIO, NELSON LEODATO",1966-05-22,Diputado,Frente Amplio,Suplente,2015,2020,AGUERO,DEMETRIO,NELSON,LEODATO,1,48,2015-02-15,2020-02-14,1985-2020
4,"ALALUF EGUEZ, ROSARIO DE LOS ANGELES",1956-08-21,Diputado,Frente Amplio,Suplente,2015,2018,ALALUF,EGUEZ,ROSARIO,DE,0,48,2015-02-15,2020-02-14,1985-2020
5,"ALCORTA TEJERA, RICARDO",1951-07-15,Senador,Frente Amplio,Suplente,2015,2019,ALCORTA,TEJERA,RICARDO,,1,48,2015-02-15,2020-02-14,1985-2020
6,"ALGORTA BRIT, FELIPE JOSE",1985-07-03,Diputado,Partido Nacional,Suplente,2015,2019,ALGORTA,BRIT,FELIPE,JOSE,1,48,2015-02-15,2020-02-14,1985-2020
7,"ALONSO MONTANO, VERONICA MARIA",1973-10-24,Senador,Partido Nacional,Titular,2015,2020,ALONSO,MONTANO,VERONICA,MARIA,0,48,2015-02-15,2020-02-14,1985-2020
8,"ALSINA BENTACOUR, HERMAN GABRIEL",1973-08-01,Diputado,Frente Amplio,Suplente,2015,2019,ALSINA,BENTACOUR,HERMAN,GABRIEL,1,48,2015-02-15,2020-02-14,1985-2020
9,"ALVAREZ INGOLD, FABIO MARTIN",1975-10-27,Diputado,Partido Colorado,Suplente,2015,2020,ALVAREZ,INGOLD,FABIO,MARTIN,1,48,2015-02-15,2020-02-14,1985-2020
10,"CARRERA LEAL, CHARLES DANIEL",1978-06-12,Senador,Frente Amplio,Titular,2017,2020,CARRERA,LEAL,CHARLES,DANIEL,1,48,2015-02-15,2020-02-14,1985-2020
11,"CARRERAS PENA, ERNESTO GREGORIO",1953-07-28,Diputado,Partido Nacional,Suplente,2015,2019,CARRERAS,PENA,ERNESTO,GREGORIO,1,48,2015-02-15,2020-02-14,1985-2020
