,nombre,fecha_nac,cargo,partido,status,inicio,fin,primer_apellido,segundo_apellido,primer_nombre,segundo_nombre,sexo,legislatura,fecha_inicio_l,fecha_fin_l,legislaturas_agrupadas
0,"ABDALA REMERCIARI, MANUEL JUAN WASHINGTON",1959-09-08,Diputado,Partido Colorado,Titular,2005,2010,ABDALA,REMERCIARI,MANUEL,JUAN,1,46,2005-02-15,2010-02-14,1985-2025
1,"ABDALA SCHWARZ, PABLO DANIEL",1966-07-14,Diputado,Partido Nacional,Titular,2005,2010,ABDALA,SCHWARZ,PABLO,DANIEL,1,46,2005-02-15,2010-02-14,1985-2025
2,"ABREU BONILLA, SERGIO",1945-11-12,Senador,Partido Nacional,Titular,2005,2010,ABREU,BONILLA,SERGIO,,1,46,2005-02-15,2010-02-14,1985-2025
3,"ABT MURIONDO, ANDRES",1973-08-11,Diputado,Partido Nacional,Suplente,2005,2009,ABT,MURIONDO,ANDRES,,1,46,2005-02-15,2010-02-14,1985-2025
4,"AGAZZI SARASOLA, ERNESTO",1942-09-04,Diputado,Frente Amplio,Titular,2005,2005,AGAZZI,SARASOLA,ERNESTO,,1,46,2005-02-15,2010-02-14,1985-2025
5,"AGUILAR CHAVES, LUIS ALBERTO",1959-04-06,Diputado,Frente Amplio,Suplente,2008,2010,AGUILAR,CHAVES,LUIS,ALBERTO,1,46,2005-02-15,2010-02-14,1985-2025
6,"AGUIRRE RAMIREZ, GONZALO",1940-01-25,Senador,Partido Nacional,Suplente,2005,2007,AGUIRRE,RAMIREZ,GONZALO,,1,46,2005-02-15,2010-02-14,1985-2025
7,"AGUIRREZABALA PERILLO, MARTIN",1961-09-03,Senador,Partido Colorado,Suplente,2005,2009,AGUIRREZABALA,PERILLO,MARTIN,,1,46,2005-02-15,2010-02-14,1985-2025
8,"ALCORTA TEJERA, RICARDO",1951-07-15,Senador,Frente Amplio,Suplente,2005,2005,ALCORTA,TEJERA,RICARDO,,1,46,2005-02-15,2010-02-14,1985-2025
9,"ALFIE STOCHEK, ISAAC",1962-04-27,Senador,Partido Colorado,Titular,2005,2010,ALFIE,STOCHEK,ISAAC,,1,46,2005-02-15,2010-02-14,1985-2025
10,"CHARLONE MARTINEZ, SILVANA MABEL",1958-11-11,Diputado,Frente Amplio,Titular,2005,2010,CHARLONE,MARTINEZ,SILVANA,MABEL,0,46,2005-02-15,2010-02-14,1985-2025
11,"CHIFFLET ZERBONI, GUILLERMO EUGENIO",1926-09-15,Diputado,Frente Amplio,Titular,2005,2005,CHIFFLET,ZERBONI,GUILLERMO,EUGENIO,1,46,2005-02-15,2010-02-14,1985-2025
12,"CHIRUCHI FUENTES, JUAN ANTONIO",1947-10-21,Senador,Partido Nacional,Titular,2005,2005,CHIRUCHI,FUENTES,JUAN,ANTONIO,1,46,2005-02-15,2010-02-14,1985-2025
13,"CID MATINOTE, ALBERTO",1940-08-14,Senador,Frente Amplio,Titular,2005,2010,CID,MATINOTE,ALBERTO,,1,46,2005-02-15,2010-02-14,1985-2025
14,"CLAVIJO QUIRQUE, HEBERT",1950-05-06,Diputado,Frente Amplio,Titular,2005,2010,CLAVIJO,QUIRQUE,HEBERT,,1,46,2005-02-15,2010-02-14,1985-2025
15,"COCCO SOTO, ALBA MARIA",1950-12-16,Diputado,Frente Amplio,Titular,2005,2010,COCCO,SOTO,ALBA,MARIA,0,46,2005-02-15,2010-02-14,1985-2025
15,"COCCO SOTO, ALBA MARIA",1950-12-16,Diputado,Frente Amplio,Suplente,2005,2005,COCCO,SOTO,ALBA,MARIA,0,46,2005-02-15,2010-02-14,1985-2025
16,"CONDE CARRERAS, ROBERTO",1952-09-07,Diputado,Frente Amplio,Titular,2005,2010,CONDE,CARRERAS,ROBERTO,,1,46,2005-02-15,2010-02-14,1985-2025
